name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Nordsjælland vs Brøndby IF,2025-07-27 16:00:00,Brøndby IF won after full-time.,Denmark Superliga,Nordsjælland,Brøndby IF,0,1,5.0,4.0,7.0,0.0,7.0,5.0,15.0,7.0,148.0,90.0,76.0,28.0,55.0,45.0,,,7.0,3.0,8.0,4.0,1.0,2.0,6.0,7.0,10.0,4.0,8.0,5.0,0.0,5.0,1.0,2.0,3.38,3.84,2.09,2.76,1.48,,,,,,,3.1,3.7,2.1,2.5,1.5,,,,,,,2025-2026
FC Midtjylland vs Sønderjyske Fodbold,2025-07-28 17:00:00,FC Midtjylland won after full-time.,Denmark Superliga,FC Midtjylland,Sønderjyske Fodbold,6,2,7.0,8.0,5.0,3.0,11.0,7.0,22.0,20.0,96.0,85.0,39.0,49.0,55.0,45.0,1.0,1.0,16.0,15.0,5.0,5.0,3.0,0.0,12.0,13.0,18.0,14.0,6.0,14.0,4.0,3.0,0.0,1.0,1.55,4.8,5.44,2.65,1.51,,,,,,,1.55,4.5,5.25,2.5,1.5,,,,,,,2025-2026
Fredericia vs FC København,2025-08-01 16:00:00,FC København won after full-time.,Denmark Superliga,Fredericia,FC København,0,2,6.0,2.0,5.0,8.0,4.0,7.0,9.0,17.0,73.0,144.0,24.0,73.0,39.0,61.0,,,2.0,11.0,7.0,6.0,1.0,2.0,9.0,7.0,9.0,16.0,5.0,10.0,4.0,3.0,,,7.04,4.91,1.44,2.05,1.82,,,,,,,6.25,4.75,1.44,1.95,1.8,,,,,,,2025-2026
Vejle Boldklub vs Odense BK,2025-08-01 18:00:00,Vejle Boldklub won after full-time.,Denmark Superliga,Vejle Boldklub,Odense BK,4,0,10.0,7.0,4.0,2.0,2.0,1.0,9.0,4.0,101.0,105.0,50.0,39.0,40.0,60.0,,,6.0,3.0,3.0,1.0,5.0,1.0,2.0,6.0,7.0,2.0,13.0,8.0,0.0,4.0,1.0,1.0,2.66,3.58,2.64,2.49,1.57,,,,,,,2.55,3.6,2.5,2.2,1.61,,,,,,,2025-2026
Randers FC vs Silkeborg IF,2025-08-03 12:00:00,Randers FC won after full-time.,Denmark Superliga,Randers FC,Silkeborg IF,1,0,5.0,12.0,4.0,5.0,5.0,8.0,10.0,18.0,107.0,102.0,32.0,49.0,47.0,53.0,1.0,0.0,4.0,5.0,6.0,13.0,2.0,2.0,11.0,9.0,10.0,13.0,5.0,6.0,4.0,4.0,1.0,1.0,1.92,3.87,3.94,2.34,1.64,,,,,,,1.85,3.7,3.9,2.2,1.61,,,,,,,2025-2026
Sønderjyske Fodbold vs Nordsjælland,2025-08-03 12:00:00,Sønderjyske Fodbold won after full-time.,Denmark Superliga,Sønderjyske Fodbold,Nordsjælland,3,2,10.0,7.0,1.0,6.0,0.0,4.0,5.0,17.0,44.0,136.0,28.0,65.0,32.0,68.0,,,1.0,14.0,4.0,4.0,0.0,3.0,8.0,1.0,7.0,7.0,11.0,14.0,5.0,1.0,2.0,1.0,3.13,3.76,2.23,2.54,1.55,,,,,,,2.87,3.7,2.25,2.37,1.53,,,,,,,2025-2026
AGF vs FC Midtjylland,2025-08-03 14:00:00,Game ended in draw.,Denmark Superliga,AGF,FC Midtjylland,0,0,9.0,3.0,9.0,0.0,11.0,4.0,22.0,6.0,130.0,75.0,93.0,21.0,74.0,26.0,1.0,0.0,13.0,3.0,10.0,2.0,2.0,1.0,7.0,15.0,11.0,4.0,14.0,6.0,1.0,3.0,1.0,2.0,2.49,3.73,2.75,2.66,1.51,,,,,,,2.45,3.6,2.7,2.5,1.5,,,,,,,2025-2026
Brøndby IF vs Viborg FF,2025-08-03 16:00:00,Viborg FF won after full-time.,Denmark Superliga,Brøndby IF,Viborg FF,0,2,3.0,11.0,4.0,1.0,7.0,5.0,21.0,11.0,140.0,90.0,95.0,41.0,58.0,42.0,,,14.0,8.0,8.0,3.0,3.0,0.0,8.0,11.0,11.0,9.0,10.0,15.0,2.0,5.0,1.0,3.0,1.77,4.03,4.49,2.46,1.58,,,,,,,1.72,4.0,4.1,2.25,1.57,,,,,,,2025-2026
FC København vs AGF,2025-08-08 16:00:00,AGF won after full-time.,Denmark Superliga,FC København,AGF,2,3,1.0,11.0,4.0,7.0,6.0,4.0,19.0,11.0,107.0,64.0,50.0,44.0,61.0,39.0,1.0,0.0,13.0,7.0,6.0,4.0,3.0,1.0,8.0,10.0,12.0,7.0,10.0,5.0,0.0,5.0,2.0,4.0,1.72,4.02,4.88,2.13,1.75,,,,,1.92,1.96,1.8,3.6,4.0,1.95,1.8,,,,,1.9,1.9,2025-2026
Viborg FF vs Sønderjyske Fodbold,2025-08-08 18:00:00,Viborg FF won after full-time.,Denmark Superliga,Viborg FF,Sønderjyske Fodbold,1,0,8.0,7.0,0.0,3.0,4.0,7.0,8.0,13.0,82.0,114.0,40.0,73.0,42.0,58.0,,,6.0,8.0,2.0,5.0,1.0,1.0,14.0,8.0,7.0,7.0,10.0,15.0,1.0,1.0,1.0,2.0,1.86,3.93,4.1,2.3,1.66,,,,,,,1.8,3.7,4.1,2.1,1.66,,,,,,,2025-2026
