name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Larissa vs Kifisia,2025-08-30 18:30:00,Game ended in draw.,Greece Super Liga,Larissa,Kifisia,1,1,8.0,7.0,2.0,5.0,8.0,7.0,15.0,15.0,62.0,95.0,30.0,39.0,48.0,52.0,,,8.0,7.0,7.0,9.0,5.0,2.0,11.0,9.0,11.0,12.0,13.0,14.0,5.0,3.0,4.0,5.0,2.36,2.85,3.78,1.64,2.27,2.11,1.78,2.09,1.78,,,2.25,2.9,3.6,1.57,2.25,2.02,1.77,2.02,1.77,,,2025-2026
AEK Athens vs Asteras Tripolis,2025-08-31 17:00:00,AEK Athens won after full-time.,Greece Super Liga,AEK Athens,Asteras Tripolis,1,0,4.0,11.0,5.0,3.0,8.0,2.0,15.0,4.0,86.0,84.0,69.0,35.0,56.0,44.0,,,11.0,1.0,4.0,3.0,2.0,1.0,5.0,7.0,9.0,3.0,17.0,7.0,2.0,1.0,3.0,2.0,1.25,5.9,12.49,1.56,2.4,,,,,,,1.22,6.0,12.0,1.57,2.25,,,,,1.92,1.87,2025-2026
PAOK vs Atromitos,2025-08-31 18:00:00,PAOK won after full-time.,Greece Super Liga,PAOK,Atromitos,1,0,7.0,2.0,6.0,1.0,14.0,0.0,26.0,1.0,142.0,50.0,79.0,9.0,73.0,27.0,,,15.0,0.0,11.0,1.0,3.0,1.0,1.0,19.0,18.0,2.0,11.0,18.0,1.0,4.0,1.0,6.0,1.37,5.0,8.73,1.76,2.07,,,,,1.82,2.03,1.38,4.5,8.0,1.75,2.0,,,,,1.8,2.0,2025-2026
Panathinaikos vs Levadiakos,2025-08-31 19:00:00,Game ended in draw.,Greece Super Liga,Panathinaikos,Levadiakos,1,1,,5.0,7.0,3.0,11.0,5.0,20.0,7.0,107.0,87.0,60.0,24.0,58.0,42.0,,,11.0,5.0,9.0,2.0,0.0,1.0,7.0,10.0,11.0,5.0,11.0,14.0,1.0,0.0,1.0,1.0,1.39,4.77,8.65,1.74,2.11,,,,,1.89,1.98,1.42,4.5,7.5,1.66,2.1,,,,,1.85,1.95,2025-2026
Olympiacos F.C. vs Panserraikos,2025-09-13 15:00:00,Olympiacos F.C. won after full-time.,Greece Super Liga,Olympiacos F.C.,Panserraikos,5,0,1.0,12.0,11.0,0.0,11.0,0.0,29.0,1.0,163.0,33.0,121.0,8.0,83.0,17.0,1.0,0.0,19.0,1.0,10.0,0.0,2.0,2.0,4.0,11.0,21.0,1.0,8.0,14.0,1.0,7.0,0.0,3.0,1.07,12.28,35.52,1.42,2.71,,,,,,,1.09,9.5,29.0,1.44,2.62,,,,,,,2025-2026
Panaitolikos vs Volos NFC,2025-09-13 17:00:00,Volos NFC won after full-time.,Greece Super Liga,Panaitolikos,Volos NFC,1,2,6.0,14.0,7.0,3.0,4.0,4.0,7.0,10.0,95.0,110.0,37.0,48.0,51.0,49.0,,,5.0,7.0,2.0,3.0,1.0,1.0,9.0,7.0,3.0,5.0,14.0,16.0,,,5.0,6.0,2.75,3.04,2.89,1.81,2.02,1.85,2.02,,,,,2.62,3.1,2.75,1.7,2.05,1.82,1.97,,,,,2025-2026
Atromitos vs Aris,2025-09-13 17:00:00,Aris won after full-time.,Greece Super Liga,Atromitos,Aris,1,2,5.0,8.0,4.0,7.0,2.0,5.0,7.0,11.0,89.0,97.0,47.0,35.0,56.0,44.0,,,5.0,9.0,3.0,2.0,0.0,3.0,7.0,1.0,3.0,10.0,12.0,17.0,3.0,2.0,1.0,2.0,3.15,2.97,2.6,1.83,2.0,1.8,2.09,,,,,3.0,3.2,2.4,1.75,2.0,1.8,2.0,,,,,2025-2026
Kifisia vs Panathinaikos,2025-09-14 15:00:00,Kifisia won after full-time.,Greece Super Liga,Kifisia,Panathinaikos,3,2,10.0,12.0,3.0,6.0,5.0,4.0,10.0,12.0,67.0,78.0,22.0,55.0,32.0,68.0,0.0,1.0,8.0,8.0,2.0,4.0,1.0,7.0,7.0,6.0,7.0,7.0,22.0,20.0,2.0,1.0,5.0,4.0,8.08,4.83,1.4,1.6,2.34,,,,,2.0,1.86,8.5,4.2,1.42,1.61,2.2,,,,,1.95,1.85,2025-2026
Asteras Tripolis vs Larissa,2025-09-14 15:00:00,Game ended in draw.,Greece Super Liga,Asteras Tripolis,Larissa,2,2,13.0,11.0,4.0,2.0,5.0,5.0,10.0,16.0,69.0,96.0,46.0,43.0,50.0,50.0,0.0,1.0,8.0,10.0,2.0,6.0,3.0,4.0,6.0,9.0,7.0,11.0,12.0,15.0,3.0,0.0,4.0,4.0,1.88,3.39,4.65,1.68,2.19,1.83,2.05,,,,,1.85,3.25,4.5,1.61,2.2,1.8,2.0,2.0,1.8,,,2025-2026
Levadiakos vs AEK Athens,2025-09-14 17:00:00,AEK Athens won after full-time.,Greece Super Liga,Levadiakos,AEK Athens,0,1,5.0,2.0,2.0,8.0,7.0,7.0,13.0,19.0,100.0,91.0,31.0,66.0,53.0,47.0,,,6.0,12.0,7.0,7.0,0.0,2.0,13.0,6.0,12.0,16.0,9.0,20.0,5.0,4.0,2.0,2.0,5.37,3.91,1.66,1.79,2.03,,,1.84,2.04,2.07,1.81,4.75,4.0,1.7,1.75,2.0,,,1.77,2.02,2.0,1.8,2025-2026
OFI vs PAOK,2025-09-14 18:30:00,PAOK won after full-time.,Greece Super Liga,OFI,PAOK,1,2,8.0,3.0,5.0,2.0,4.0,3.0,7.0,14.0,74.0,104.0,26.0,53.0,51.0,49.0,0.0,1.0,3.0,8.0,4.0,6.0,2.0,7.0,8.0,4.0,5.0,6.0,10.0,16.0,2.0,1.0,2.0,1.0,7.79,4.76,1.42,1.91,1.92,,,,,,,7.5,4.5,1.4,1.9,1.9,,,,,,,2025-2026
Panserraikos vs Atromitos,2025-09-20 15:00:00,Game ended in draw.,Greece Super Liga,Panserraikos,Atromitos,1,1,14.0,7.0,3.0,7.0,10.0,6.0,15.0,11.0,80.0,91.0,41.0,43.0,43.0,57.0,,,10.0,4.0,5.0,7.0,1.0,3.0,6.0,10.0,9.0,7.0,19.0,21.0,1.0,1.0,5.0,3.0,3.38,2.96,2.47,1.97,1.87,1.79,2.1,1.96,1.9,,,3.4,2.9,2.37,1.95,1.8,1.75,2.05,1.87,1.92,,,2025-2026
