name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Real Betis vs Deportivo Alavés,2025-08-22 19:30:00,Real Betis won after full-time.,Spain La Liga,Real Betis,Deportivo Alavés,1,0,11.0,6.0,5.0,2.0,7.0,5.0,16.0,11.0,102.0,120.0,40.0,37.0,49.0,51.0,,,10.0,6.0,6.0,5.0,2.0,3.0,8.0,9.0,13.0,9.0,10.0,17.0,5.0,5.0,2.0,3.0,1.87,3.51,4.78,1.79,2.08,1.82,2.1,2.03,1.88,,,1.83,3.4,4.5,1.75,2.0,1.8,2.05,1.95,1.9,,,2025-2026
Mallorca vs Celta de Vigo,2025-08-23 15:00:00,Game ended in draw.,Spain La Liga,Mallorca,Celta de Vigo,1,1,20.0,18.0,3.0,4.0,7.0,4.0,12.0,8.0,105.0,78.0,37.0,24.0,50.0,50.0,,,8.0,3.0,4.0,5.0,1.0,1.0,6.0,9.0,9.0,8.0,12.0,12.0,1.0,3.0,3.0,3.0,3.39,3.38,2.29,1.96,1.91,1.8,2.14,1.94,1.96,,,3.4,3.2,2.25,1.9,1.9,1.77,2.1,1.87,1.97,,,2025-2026
Atlético Madrid vs Elche,2025-08-23 17:30:00,Game ended in draw.,Spain La Liga,Atlético Madrid,Elche,1,1,15.0,12.0,10.0,2.0,4.0,3.0,13.0,6.0,130.0,86.0,72.0,18.0,58.0,42.0,,,7.0,5.0,6.0,1.0,3.0,0.0,5.0,10.0,9.0,4.0,14.0,7.0,1.0,5.0,0.0,3.0,1.26,6.31,11.81,1.6,2.39,,,,,1.83,2.05,1.28,5.5,10.0,1.57,2.25,,,,,1.82,2.02,2025-2026
Levante vs FC Barcelona,2025-08-23 19:30:00,FC Barcelona won after full-time.,Spain La Liga,Levante,FC Barcelona,2,3,14.0,2.0,0.0,11.0,1.0,8.0,8.0,26.0,22.0,136.0,13.0,92.0,18.0,82.0,1.0,0.0,8.0,16.0,0.0,10.0,6.0,0.0,10.0,2.0,7.0,21.0,10.0,8.0,9.0,3.0,3.0,1.0,11.53,7.6,1.22,2.02,1.83,,,,,,,12.0,6.25,1.22,2.05,1.7,,,,,,,2025-2026
Osasuna vs Valencia,2025-08-24 15:00:00,Osasuna won after full-time.,Spain La Liga,Osasuna,Valencia,1,0,17.0,12.0,3.0,4.0,6.0,2.0,16.0,4.0,99.0,79.0,59.0,32.0,56.0,44.0,,,9.0,1.0,7.0,3.0,2.0,1.0,6.0,11.0,11.0,4.0,14.0,13.0,1.0,3.0,2.0,1.0,2.28,3.21,3.6,1.91,1.96,1.81,2.09,2.04,1.86,,,2.25,3.25,3.4,1.8,1.95,,,2.0,1.85,2.02,1.82,2025-2026
Real Sociedad vs Espanyol,2025-08-24 17:30:00,Game ended in draw.,Spain La Liga,Real Sociedad,Espanyol,2,2,11.0,3.0,5.0,2.0,4.0,7.0,15.0,14.0,101.0,89.0,45.0,40.0,62.0,38.0,0.0,1.0,11.0,5.0,4.0,9.0,1.0,1.0,9.0,10.0,10.0,8.0,16.0,18.0,1.0,5.0,2.0,2.0,1.88,3.51,4.72,1.96,1.9,,,1.84,2.07,2.06,1.85,1.85,3.5,4.33,1.95,1.8,,,1.8,2.05,2.0,1.85,2025-2026
Villarreal vs Girona,2025-08-24 17:30:00,Villarreal won after full-time.,Spain La Liga,Villarreal,Girona,5,0,5.0,19.0,8.0,1.0,7.0,1.0,19.0,5.0,95.0,96.0,53.0,35.0,53.0,47.0,,,13.0,3.0,6.0,2.0,3.0,0.0,6.0,10.0,12.0,3.0,8.0,9.0,2.0,2.0,1.0,2.0,1.5,4.56,6.74,2.02,1.85,,,,,,,1.45,4.33,7.0,1.95,1.8,,,,,,,2025-2026
Real Oviedo vs Real Madrid,2025-08-24 19:30:00,Real Madrid won after full-time.,Spain La Liga,Real Oviedo,Real Madrid,0,3,20.0,8.0,1.0,9.0,3.0,6.0,6.0,26.0,57.0,158.0,27.0,91.0,35.0,65.0,,,3.0,13.0,3.0,13.0,2.0,2.0,12.0,4.0,7.0,24.0,8.0,7.0,8.0,3.0,2.0,1.0,10.33,5.51,1.32,1.63,2.33,,,,,1.86,2.05,9.0,5.25,1.33,1.57,2.25,,,,,1.82,2.02,2025-2026
Athletic Club vs Rayo Vallecano,2025-08-25 17:30:00,Athletic Club won after full-time.,Spain La Liga,Athletic Club,Rayo Vallecano,1,0,8.0,6.0,3.0,6.0,3.0,2.0,11.0,6.0,96.0,90.0,59.0,44.0,41.0,59.0,1.0,0.0,5.0,2.0,6.0,4.0,0.0,7.0,6.0,11.0,8.0,3.0,13.0,13.0,1.0,3.0,0.0,4.0,1.79,3.51,5.35,1.81,2.05,,,1.92,1.98,,,1.75,3.4,5.25,1.75,2.0,,,1.9,1.95,,,2025-2026
Sevilla vs Getafe,2025-08-25 19:30:00,Getafe won after full-time.,Spain La Liga,Sevilla,Getafe,1,2,17.0,7.0,5.0,3.0,8.0,1.0,12.0,9.0,130.0,81.0,71.0,25.0,71.0,29.0,,,8.0,3.0,4.0,5.0,4.0,1.0,1.0,11.0,11.0,6.0,10.0,24.0,4.0,3.0,2.0,2.0,2.11,3.15,4.23,1.58,2.43,2.08,1.84,,,,,2.0,3.1,4.33,1.53,2.37,2.05,1.8,2.05,1.8,,,2025-2026
