name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Almería vs Ceuta,2026-02-01 13:00:00,Almería won after full-time.,Spain La Liga 2,Almería,Ceuta,4.0,2.0,8,10,5.0,2.0,4.0,8.0,16.0,16.0,101.0,65.0,48.0,36.0,51.0,49.0,2.0,1.0,11.0,11.0,5.0,5.0,4.0,2.0,9.0,4.0,12.0,11.0,21.0,14.0,2.0,5.0,2.0,3.0,1.81,3.84,4.44,2.16,1.74,,,,,1.86,2.03,1.75,3.6,4.5,2.0,1.72,,,,,1.82,1.97,0.55,0.26,0.23,0.57,0.46,,,,,0.54,0.49,0.57,0.28,0.22,0.5,0.58,,,,,0.55,0.51,2025-2026
SD Eibar vs Sporting Gijón,2026-02-01 15:15:00,SD Eibar won after full-time.,Spain La Liga 2,SD Eibar,Sporting Gijón,1.0,0.0,16,9,8.0,3.0,4.0,6.0,10.0,9.0,3.0,8.0,52.0,41.0,52.0,48.0,,,5.0,5.0,5.0,4.0,0.0,1.0,11.0,5.0,6.0,8.0,14.0,7.0,3.0,4.0,3.0,2.0,2.17,3.11,3.97,1.81,2.06,1.81,2.09,,,,,2.1,3.1,3.7,1.66,2.1,1.8,2.0,,,,,0.46,0.32,0.25,0.49,0.55,0.55,0.48,,,,,0.48,0.32,0.27,0.6,0.48,0.56,0.5,,,,,2025-2026
Castellón vs FC Andorra,2026-02-01 17:30:00,Castellón won after full-time.,Spain La Liga 2,Castellón,FC Andorra,2.0,0.0,3,14,6.0,6.0,4.0,4.0,18.0,10.0,80.0,76.0,47.0,32.0,39.0,61.0,,,14.0,5.0,4.0,5.0,2.0,3.0,5.0,3.0,12.0,7.0,27.0,12.0,5.0,4.0,3.0,4.0,1.47,4.75,6.83,2.11,1.77,,,,,,,1.44,4.75,6.5,2.0,1.72,,,,,,,0.68,0.21,0.15,0.56,0.47,,,,,,,0.69,0.21,0.15,0.5,0.58,,,,,,,2025-2026
Huesca vs Cádiz,2026-02-01 17:30:00,Huesca won after full-time.,Spain La Liga 2,Huesca,Cádiz,1.0,0.0,20,11,5.0,4.0,5.0,8.0,12.0,11.0,93.0,91.0,61.0,45.0,52.0,48.0,,,10.0,9.0,2.0,2.0,4.0,2.0,10.0,5.0,5.0,9.0,13.0,11.0,2.0,2.0,3.0,3.0,2.48,3.01,3.37,1.83,2.04,1.87,2.02,2.05,1.84,,,2.37,3.1,3.1,1.66,2.1,1.8,2.0,1.9,1.9,,,0.4,0.33,0.3,0.49,0.55,0.53,0.5,0.49,0.54,,,0.42,0.32,0.32,0.6,0.48,0.56,0.5,0.53,0.53,,,2025-2026
Granada vs Racing Santander,2026-02-01 20:00:00,Granada won after full-time.,Spain La Liga 2,Granada,Racing Santander,1.0,0.0,18,1,5.0,4.0,5.0,3.0,13.0,6.0,87.0,103.0,46.0,40.0,40.0,60.0,,,11.0,4.0,2.0,2.0,2.0,0.0,5.0,7.0,10.0,4.0,17.0,17.0,2.0,5.0,5.0,4.0,2.54,3.26,3.01,2.15,1.75,,,,,2.02,1.86,2.4,3.2,3.0,2.0,1.72,,,,,2.0,1.8,0.39,0.31,0.33,0.57,0.47,,,,,0.5,0.54,0.42,0.31,0.33,0.5,0.58,,,,,0.5,0.56,2025-2026
Mirandés vs Málaga,2026-02-02 19:30:00,Mirandés won after full-time.,Spain La Liga 2,Mirandés,Málaga,2.0,1.0,22,6,7.0,6.0,12.0,5.0,21.0,16.0,75.0,114.0,34.0,68.0,34.0,66.0,1.0,0.0,12.0,9.0,9.0,7.0,1.0,2.0,8.0,12.0,12.0,9.0,11.0,10.0,2.0,3.0,4.0,3.0,3.1,3.13,2.55,1.92,1.93,,,2.06,1.84,,,3.1,2.9,2.45,1.83,1.83,,,1.97,1.82,,,0.32,0.32,0.39,0.52,0.52,,,0.49,0.54,,,0.32,0.34,0.41,0.55,0.55,,,0.51,0.55,,,2025-2026
