team_name,assist-stats.assists_per_game,assist-stats.minutes_per_assist,assist-stats.total_assists,attacks,attacks.average,attacks.count,average-player-height.avg_attacker_height,average-player-height.avg_defender_height,average-player-height.avg_goalkeeper_height,average-player-height.avg_midfielder_height,average-player-height.avg_total_height,ball-possession,ball-possession.average,ball-possession.count,corners,corners.average,corners.count,dangerous-attacks,dangerous-attacks.average,dangerous-attacks.count,fouls,fouls.average,fouls.count,games-played,games-played.away,games-played.home,games-played.total,goal-results.ga_over_0_5,goal-results.ga_over_1_5,goal-results.ga_over_2_5,goal-results.ga_over_3_5,goal-results.ga_over_4_5,goal-results.gf_over_0_5,goal-results.gf_over_1_5,goal-results.gf_over_2_5,goal-results.gf_over_3_5,goal-results.gf_over_4_5,half-results.comebacks,half-results.scored_both_halves,half-results.won_both_halves,highest-rated-player.player_id,highest-rated-player.rating,injury-time-goals,injury-time-goals.average,injury-time-goals.total,interception-stats.interceptions_per_game,interception-stats.total_interceptions,most-frequent-scoring-minute.amount_of_goals,most-frequent-scoring-minute.most_frequent_scoring_minute,most-scored-half.most_scored_half_goals,offsides,offsides.average,offsides.count,pass-stats.passes_per_game,pass-stats.passes_per_goal,pass-stats.passes_per_shot,pass-stats.total_passes,penalties.conversion_rate,penalties.missed,penalties.scored,players-footing.left,players-footing.right,players-footing.unknown,redcards,redcards.average,redcards.coach,redcards.coach_average,redcards.count,redcards.player_id,scoring-frequency.scoring_frequency,shots,shots.average,shots.blocked,shots.inside_box,shots.off_target,shots.on_target,shots.outside_box,shots.shot_conversion_rate_pct,shots.total,tackles,tackles.average,tackles.count,tackles.tackles_per_card,tackles.tackles_per_foul,through-balls,through-balls-won,through-balls-won.total,through-balls.total,total-minutes-played.total_minutes_played,yellowcards,yellowcards.average,yellowcards.coach,yellowcards.coach_average,yellowcards.count,yellowcards.player_id,yellowred-cards,yellowred-cards.average,yellowred-cards.coach,yellowred-cards.coach_average,yellowred-cards.count,yellowred-cards.player_id,league
Ceuta,0.75,120.0,6.0,97.38,97.38,779,175.63,178.25,185.5,180.4,178.43,52.75,52.75,422,4.5,4.5,36,46.88,46.88,375,12.63,12.63,101,8,4,4,8,5,3,3,1,0,5,2,1,0,0,1.0,2.0,0.0,3877049.0,7.22,2.0,0.25,2.0,12.75,102,1.0,11.0,11,1.88,1.88,15,408.63,467.0,39.87,3269,100.0,0.0,1.0,10,14,4,0.13,0.13,0.0,0.0,1.0,189956.0,90.0,82,10.25,20,57,36,26,25,600,82,14.75,14.75,118,4.92,1.12,7.0,,,7.0,720,2.5,2.5,0,0.0,20,187166,0.13,0.13,0.0,0.0,1.0,37297493.0,Spain La Liga 2
Huesca,0.75,120.0,6.0,91.0,91.0,728,179.29,185.57,186.0,175.43,180.83,50.75,50.75,406,4.38,4.38,35,37.38,37.38,299,12.75,12.75,102,8,3,5,8,6,2,1,1,0,6,2,0,0,0,0.0,2.0,1.0,30875566.0,7.2,4.0,0.5,4.0,9.25,74,3.0,90.0,9,2.0,2.0,16,393.5,393.5,40.36,3148,,,,7,16,3,0.13,0.13,0.0,0.0,1.0,185698.0,90.0,78,9.75,20,43,40,18,34,800,78,14.25,14.25,114,6.0,1.12,24.0,12.0,12.0,24.0,720,2.25,2.25,0,0.0,18,381886,,,,,,,Spain La Liga 2
Burgos,1.25,72.0,10.0,96.0,96.0,768,183.67,180.43,187.0,180.6,181.55,50.5,50.5,404,3.25,3.25,26,45.25,45.25,362,12.25,12.25,98,8,4,4,8,6,3,0,0,0,6,3,2,1,1,0.0,3.0,1.0,98956.0,7.2,1.0,0.13,1.0,12.13,97,1.0,18.0,13,1.63,1.63,13,420.38,336.3,41.52,3363,100.0,0.0,3.0,10,10,3,,,,,,,55.38,81,10.13,21,56,33,27,25,700,81,17.38,17.38,139,8.18,1.42,24.0,,,24.0,720,2.13,2.13,0,0.0,17,37316515,,,,,,,Spain La Liga 2
Las Palmas,1.0,90.0,8.0,100.75,100.75,806,180.2,181.29,186.5,175.82,179.08,57.38,57.38,459,4.38,4.38,35,41.75,41.75,334,13.25,13.25,106,8,3,5,8,5,0,0,0,0,5,2,1,0,0,0.0,2.0,2.0,21413993.0,7.18,,,,10.75,86,1.0,8.0,8,3.25,3.25,26,499.13,499.13,42.48,3993,,,,7,19,1,0.13,0.13,0.0,0.0,1.0,37606984.0,90.0,94,11.75,19,50,45,30,44,800,94,13.25,13.25,106,5.58,1.0,126.0,62.0,62.0,126.0,720,1.88,1.88,0,0.0,15,23278692,0.13,0.13,0.0,0.0,1.0,37768070.0,Spain La Liga 2
Real Sociedad II,1.0,90.0,8.0,86.5,86.5,692,180.0,178.6,197.0,,181.25,44.88,44.88,359,3.13,3.13,25,32.25,32.25,258,19.63,19.63,157,8,4,4,8,7,5,2,1,1,7,3,1,0,0,1.0,2.0,0.0,37609223.0,7.03,1.0,0.13,1.0,8.0,64,1.0,35.0,14,0.88,0.88,7,373.0,373.0,36.39,2984,50.0,1.0,1.0,5,5,11,,,,,,,65.45,82,10.25,20,45,30,32,37,700,82,18.5,18.5,148,5.1,0.94,,,,,720,3.75,3.75,0,0.0,30,37736497,,,,,,,Spain La Liga 2
Cádiz,0.88,102.85714285714286,7.0,89.25,89.25,714,179.67,185.5,186.0,179.56,181.5,47.88,47.88,383,4.63,4.63,37,41.88,41.88,335,14.13,14.13,113,8,4,4,8,4,1,1,0,0,6,2,1,0,0,1.0,1.0,0.0,189238.0,7.16,3.0,0.38,3.0,7.75,62,1.0,20.0,9,1.75,1.75,14,390.13,390.13,37.15,3121,,,,4,17,3,,,,,,,80.0,84,10.5,21,47,40,23,38,800,84,16.0,16.0,128,6.1,1.13,96.0,40.0,40.0,96.0,720,2.75,2.75,0,0.0,22,37554184,,,,,,,Spain La Liga 2
Almería,1.25,72.0,10.0,104.25,104.25,834,180.33,185.38,184.0,178.42,181.32,55.38,55.38,443,5.88,5.88,47,50.13,50.13,401,13.88,13.88,111,8,5,3,8,6,4,3,1,0,8,4,1,1,0,1.0,2.0,0.0,37316507.0,7.66,2.0,0.25,2.0,8.5,68,2.0,11.0,18,1.25,1.25,10,475.38,316.92,27.96,3803,66.67,1.0,2.0,6,19,0,0.13,0.13,0.0,0.0,1.0,30446984.0,51.43,136,17.0,33,85,62,41,50,1,136,15.38,15.38,123,4.1,1.09,201.0,68.0,68.0,201.0,720,3.38,3.38,0,0.0,27,188453,0.13,0.13,0.0,0.0,1.0,186513.0,Spain La Liga 2
Racing Santander,1.88,48.0,15.0,97.0,97.0,776,178.0,182.4,190.0,178.09,181.0,52.75,52.75,422,7.38,7.38,59,42.75,42.75,342,13.75,13.75,110,8,3,5,8,7,5,1,1,0,8,7,5,1,0,1.0,1.0,1.0,3219728.0,7.59,1.0,0.13,1.0,8.38,67,2.0,61.0,24,2.75,2.75,22,443.25,186.63,31.11,3546,100.0,0.0,2.0,9,14,1,,,,,,,34.29,114,14.25,24,88,35,55,26,1,114,15.63,15.63,125,7.35,1.13,8.0,8.0,8.0,8.0,720,2.13,2.13,0,0.0,17,533882,,,,,,,Spain La Liga 2
Cultural Leonesa,0.63,144.0,5.0,80.38,80.38,643,179.63,182.71,186.0,181.56,181.78,43.38,43.38,347,3.5,3.5,28,31.0,31.0,248,14.88,14.88,119,8,4,4,8,5,3,2,1,1,4,1,1,1,0,0.0,1.0,0.0,446296.0,7.14,,,,9.5,76,1.0,7.0,10,1.25,1.25,10,358.13,477.5,40.35,2865,,,,8,20,1,0.25,0.25,0.0,0.0,2.0,6042.0,102.86,71,8.88,21,37,28,22,33,600,71,18.63,18.63,149,10.64,1.24,14.0,9.0,9.0,14.0,720,1.5,1.5,0,0.0,12,37564298,,,,,,,Spain La Liga 2
Leganés,0.38,240.0,3.0,89.88,89.88,719,181.43,182.33,186.0,179.86,181.68,47.75,47.75,382,3.38,3.38,27,34.5,34.5,276,13.75,13.75,110,8,4,4,8,6,1,0,0,0,5,3,0,0,0,,,,7330512.0,7.2,1.0,0.13,1.0,8.5,68,1.0,50.0,10,2.13,2.13,17,359.25,410.57,36.85,2874,100.0,0.0,1.0,7,15,1,,,,,,,90.0,78,9.75,20,50,28,30,27,600,78,14.63,14.63,117,3.9,1.05,91.0,57.0,57.0,91.0,720,3.5,3.5,0,0.0,28,37593246,0.13,0.13,0.0,0.0,1.0,5641100.0,Spain La Liga 2
SD Eibar,0.63,144.0,5.0,101.5,101.5,812,178.33,184.0,190.0,179.33,181.83,51.0,51.0,408,5.0,5.0,40,49.63,49.63,397,14.25,14.25,114,8,4,4,8,6,1,0,0,0,6,3,1,0,0,0.0,1.0,1.0,185847.0,7.08,4.0,0.5,4.0,9.0,72,1.0,52.0,11,1.63,1.63,13,439.88,391.0,32.28,3519,0.0,1.0,0.0,4,19,0,0.25,0.25,0.0,0.0,2.0,186371.0,72.0,109,13.63,23,75,47,39,29,900,109,17.13,17.13,137,6.85,1.19,8.0,8.0,8.0,8.0,720,2.13,2.13,0,0.0,17,383387,,,,,,,Spain La Liga 2
FC Andorra,1.13,80.0,9.0,86.88,86.88,695,178.0,179.57,184.0,177.71,179.29,54.5,54.5,436,4.75,4.75,38,38.88,38.88,311,14.13,14.13,113,8,4,4,8,8,2,0,0,0,7,4,2,0,0,0.0,3.0,2.0,37543406.0,7.39,,,,10.63,85,1.0,9.0,15,2.63,2.63,21,465.63,338.64,36.17,3725,100.0,0.0,1.0,6,10,8,,,,,,,55.38,103,12.88,22,52,37,44,51,1,103,16.63,16.63,133,6.65,1.19,,,,,720,2.38,2.38,0,0.0,19,8456322,0.13,0.13,0.0,0.0,1.0,8456322.0,Spain La Liga 2
