name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Bragantino vs Atlético Mineiro,2026-02-04 22:00:00,Bragantino won after full-time.,Brasileirao Betano Serie A,Bragantino,Atlético Mineiro,1.0,0.0,8.0,11.0,6.0,12.0,7.0,4.0,19.0,12.0,80.0,88.0,66.0,42.0,48.0,52.0,,,10.0,6.0,9.0,6.0,1.0,5.0,5.0,6.0,10.0,5.0,12.0,8.0,2.0,4.0,3.0,2.0,2.11,3.22,4.01,1.81,2.07,,,2.1,1.8,,,2.1,3.2,3.8,1.75,2.0,,,2.05,1.8,,,0.47,0.31,0.25,0.48,0.55,,,0.48,0.56,,,0.48,0.31,0.26,0.57,0.5,,,0.49,0.56,,,2026
Flamengo vs Internacional,2026-02-04 22:00:00,Game ended in draw.,Brasileirao Betano Serie A,Flamengo,Internacional,1.0,1.0,14.0,17.0,4.0,3.0,7.0,4.0,18.0,9.0,156.0,77.0,57.0,16.0,65.0,35.0,1.0,0.0,13.0,2.0,5.0,7.0,1.0,2.0,7.0,12.0,10.0,9.0,20.0,17.0,4.0,4.0,4.0,3.0,1.43,4.95,7.38,1.76,2.13,,,,,1.84,2.04,1.42,4.5,7.5,1.75,2.0,,,,,1.82,2.02,0.7,0.2,0.14,0.47,0.57,,,,,0.54,0.49,0.7,0.22,0.13,0.57,0.5,,,,,0.55,0.5,2026
Remo vs Mirassol,2026-02-04 23:00:00,Game ended in draw.,Brasileirao Betano Serie A,Remo,Mirassol,2.0,2.0,19.0,4.0,4.0,4.0,6.0,2.0,18.0,8.0,89.0,95.0,13.0,19.0,37.0,63.0,,,8.0,7.0,10.0,1.0,1.0,2.0,9.0,8.0,12.0,9.0,15.0,9.0,3.0,5.0,2.0,2.0,3.07,3.2,2.53,1.92,1.93,,,2.0,1.88,,,3.1,3.2,2.45,1.9,1.9,,,1.97,1.87,,,0.33,0.31,0.4,0.52,0.52,,,0.5,0.53,,,0.32,0.31,0.41,0.53,0.53,,,0.51,0.53,,,2026
Santos vs São Paulo,2026-02-04 23:00:00,Game ended in draw.,Brasileirao Betano Serie A,Santos,São Paulo,1.0,1.0,18.0,6.0,7.0,4.0,4.0,4.0,12.0,8.0,115.0,78.0,18.0,13.0,50.0,50.0,,,6.0,7.0,6.0,1.0,2.0,0.0,7.0,5.0,6.0,6.0,11.0,19.0,2.0,2.0,5.0,1.0,2.34,3.14,3.49,1.82,2.05,1.79,2.11,2.08,1.81,2.04,1.8,2.25,3.1,3.3,1.75,2.0,1.77,2.1,1.8,2.05,1.8,2.05,0.43,0.32,0.29,0.49,0.55,0.56,0.47,0.48,0.55,0.49,0.56,0.44,0.32,0.3,0.57,0.5,0.56,0.48,0.56,0.49,0.56,0.49,2026
Grêmio vs Botafogo,2026-02-05 00:30:00,Grêmio won after full-time.,Brasileirao Betano Serie A,Grêmio,Botafogo,5.0,3.0,15.0,2.0,4.0,2.0,3.0,5.0,14.0,9.0,79.0,77.0,29.0,17.0,43.0,57.0,1.0,0.0,10.0,7.0,4.0,2.0,1.0,0.0,2.0,7.0,11.0,7.0,13.0,14.0,1.0,3.0,0.0,3.0,2.4,3.13,3.37,1.99,1.86,,,1.93,1.95,2.07,1.78,2.35,3.0,3.4,1.95,1.8,,,1.95,1.9,1.82,2.02,0.42,0.32,0.3,0.54,0.5,,,0.52,0.51,0.48,0.56,0.43,0.33,0.29,0.51,0.56,,,0.51,0.53,0.55,0.5,2026
Palmeiras vs Vitória,2026-02-05 00:30:00,Palmeiras won after full-time.,Brasileirao Betano Serie A,Palmeiras,Vitória,5.0,1.0,10.0,4.0,6.0,4.0,4.0,2.0,17.0,9.0,84.0,70.0,38.0,31.0,60.0,40.0,,,10.0,6.0,7.0,3.0,2.0,1.0,5.0,4.0,11.0,6.0,2.0,0.0,2.0,2.0,1.0,4.0,1.34,5.27,10.32,1.69,2.24,,,,,1.84,2.05,1.33,5.0,10.0,1.61,2.2,,,,,2.0,1.85,0.75,0.19,0.1,0.45,0.59,,,,,0.54,0.49,0.75,0.2,0.1,0.62,0.45,,,,,0.5,0.54,2026
Bahia vs Fluminense,2026-02-05 22:00:00,Game ended in draw.,Brasileirao Betano Serie A,Bahia,Fluminense,1.0,1.0,7.0,8.0,6.0,4.0,11.0,7.0,19.0,13.0,110.0,96.0,40.0,49.0,42.0,58.0,,,14.0,8.0,5.0,5.0,4.0,0.0,9.0,11.0,15.0,11.0,12.0,13.0,3.0,4.0,0.0,3.0,2.17,3.23,3.82,1.92,1.93,,,1.9,1.98,2.09,1.81,2.1,3.3,3.5,1.9,1.9,,,1.87,1.97,1.85,2.0,0.46,0.31,0.26,0.52,0.52,,,0.53,0.51,0.48,0.55,0.48,0.3,0.29,0.53,0.53,,,0.53,0.51,0.54,0.5,2026
Vasco da Gama vs Chapecoense,2026-02-05 23:00:00,Game ended in draw.,Brasileirao Betano Serie A,Vasco da Gama,Chapecoense,1.0,1.0,17.0,6.0,14.0,0.0,12.0,5.0,30.0,7.0,134.0,57.0,45.0,9.0,67.0,33.0,,,22.0,4.0,8.0,3.0,0.0,1.0,6.0,8.0,15.0,5.0,15.0,11.0,0.0,10.0,,,1.57,3.99,6.68,1.88,1.98,,,1.81,2.03,1.89,1.99,1.57,3.9,6.0,1.9,1.9,,,2.02,1.82,1.85,2.0,0.64,0.25,0.15,0.51,0.53,,,0.55,0.49,0.53,0.5,0.64,0.26,0.17,0.53,0.53,,,0.5,0.55,0.54,0.5,2026
Cruzeiro vs Coritiba,2026-02-06 00:30:00,Coritiba won after full-time.,Brasileirao Betano Serie A,Cruzeiro,Coritiba,1.0,2.0,20.0,19.0,12.0,2.0,8.0,6.0,19.0,10.0,149.0,58.0,67.0,34.0,68.0,32.0,,,11.0,6.0,8.0,4.0,1.0,2.0,7.0,13.0,12.0,8.0,9.0,16.0,0.0,3.0,3.0,2.0,1.39,4.58,10.42,1.56,2.52,,,1.88,2.0,2.07,1.82,1.38,4.33,9.5,1.5,2.5,,,1.87,1.97,1.8,2.05,0.72,0.22,0.1,0.4,0.64,,,0.53,0.5,0.48,0.55,0.72,0.23,0.11,0.67,0.4,,,0.53,0.51,0.56,0.49,2026
Vitória vs Flamengo,2026-02-11 00:30:00,Flamengo won after full-time.,Brasileirao Betano Serie A,Vitória,Flamengo,1.0,2.0,12.0,13.0,7.0,2.0,2.0,3.0,10.0,6.0,98.0,88.0,39.0,35.0,44.0,56.0,1.0,0.0,8.0,4.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,11.0,20.0,0.0,2.0,3.0,4.0,5.98,3.77,1.66,1.79,2.09,,,1.82,2.07,2.03,1.85,5.75,3.8,1.61,1.8,1.95,,,1.82,2.02,1.82,2.02,0.17,0.27,0.6,0.48,0.56,,,0.55,0.48,0.49,0.54,0.17,0.26,0.62,0.56,0.51,,,0.55,0.5,0.55,0.5,2026
