name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Deportivo Maldonado vs Atlético Progreso,2026-02-14 20:00:00,Deportivo Maldonado won after full-time.,Uruguay Primera Division,Deportivo Maldonado,Atlético Progreso,2.0,0.0,1.0,16.0,6.0,4.0,8.0,2.0,18.0,6.0,90.0,86.0,49.0,35.0,58.0,42.0,2.0,0.0,11.0,2.0,7.0,4.0,,,8.0,15.0,,,16.0,12.0,2.0,5.0,2.0,2.0,2.41,3.21,3.12,1.86,1.93,1.88,1.87,2.02,1.82,,,2.35,3.2,2.75,1.8,1.9,2.02,1.77,2.0,1.8,,,0.41,0.31,0.32,0.52,0.54,0.53,0.53,0.5,0.55,,,0.43,0.31,0.36,0.56,0.53,0.5,0.56,0.5,0.56,,,2026
Nacional vs Racing,2026-02-14 23:30:00,Game ended in draw.,Uruguay Primera Division,Nacional,Racing,1.0,1.0,4.0,10.0,9.0,7.0,4.0,4.0,13.0,10.0,120.0,110.0,90.0,77.0,66.0,34.0,,,9.0,7.0,4.0,3.0,1.0,1.0,8.0,10.0,,,8.0,17.0,2.0,3.0,4.0,6.0,1.51,4.07,6.87,,,,,,,2.0,1.84,1.48,3.9,7.0,1.66,2.1,,,,,2.0,1.8,0.66,0.25,0.15,,,,,,,0.5,0.54,0.68,0.26,0.14,0.6,0.48,,,,,0.5,0.56,2026
Danubio vs Boston River,2026-02-15 20:00:00,Danubio won after full-time.,Uruguay Primera Division,Danubio,Boston River,2.0,0.0,3.0,15.0,4.0,1.0,5.0,3.0,14.0,8.0,133.0,104.0,59.0,52.0,62.0,38.0,,,6.0,0.0,8.0,8.0,1.0,2.0,4.0,13.0,,,8.0,11.0,2.0,3.0,1.0,2.0,2.52,2.97,3.19,1.85,1.95,1.78,2.08,,,,,2.45,2.87,2.7,1.72,2.0,1.75,2.05,2.05,1.75,,,0.4,0.34,0.31,0.51,0.54,0.56,0.48,,,,,0.41,0.35,0.37,0.58,0.5,0.57,0.49,0.49,0.57,,,2026
Central Español vs Peñarol,2026-02-15 23:30:00,Central Español won after full-time.,Uruguay Primera Division,Central Español,Peñarol,2.0,1.0,5.0,6.0,2.0,6.0,3.0,10.0,10.0,20.0,58.0,92.0,27.0,20.0,30.0,70.0,,,4.0,6.0,6.0,14.0,0.0,1.0,25.0,8.0,,,14.0,5.0,3.0,2.0,2.0,2.0,7.07,4.24,1.48,1.64,2.25,,,,,1.96,1.87,7.0,3.75,1.45,1.66,2.1,,,,,1.9,1.9,0.14,0.24,0.68,0.44,0.61,,,,,0.51,0.53,0.14,0.27,0.69,0.6,0.48,,,,,0.53,0.53,2026
Albion vs Cerro,2026-02-16 22:00:00,Albion won after full-time.,Uruguay Primera Division,Albion,Cerro,3.0,0.0,7.0,15.0,6.0,3.0,6.0,6.0,14.0,19.0,73.0,104.0,53.0,52.0,57.0,43.0,,,6.0,7.0,8.0,12.0,1.0,1.0,10.0,8.0,,,15.0,15.0,4.0,1.0,4.0,3.0,2.1,3.18,3.87,1.64,2.27,1.96,1.87,,,,,2.15,3.0,3.4,1.61,2.2,1.95,1.85,1.9,1.9,,,0.48,0.31,0.26,0.44,0.61,0.51,0.53,,,,,0.47,0.33,0.29,0.62,0.45,0.51,0.54,0.53,0.53,,,2026
Montevideo City Torque vs Juventud,2026-02-17 00:30:00,Game ended in draw.,Uruguay Primera Division,Montevideo City Torque,Juventud,2.0,2.0,12.0,11.0,9.0,3.0,4.0,3.0,13.0,9.0,128.0,100.0,90.0,55.0,58.0,42.0,,,10.0,4.0,3.0,5.0,1.0,1.0,9.0,16.0,,,12.0,15.0,2.0,3.0,4.0,4.0,1.5,4.11,7.12,1.75,2.08,,,1.81,2.03,1.93,1.9,1.48,3.9,5.75,1.72,2.0,,,1.97,1.82,1.9,1.9,0.67,0.24,0.14,0.48,0.57,,,0.55,0.49,0.52,0.53,0.68,0.26,0.17,0.58,0.5,,,0.51,0.55,0.53,0.53,2026
Cerro vs Liverpool,2026-02-20 21:45:00,Game ended in draw.,Uruguay Primera Division,Cerro,Liverpool,1.0,1.0,15.0,9.0,1.0,8.0,3.0,1.0,6.0,4.0,98.0,106.0,53.0,71.0,36.0,64.0,,,,,,,,,,,,,,,,,5.0,3.0,3.72,3.11,2.18,1.68,2.2,1.92,1.9,,,,,3.4,2.9,2.1,1.66,2.1,1.9,1.9,,,,,0.27,0.32,0.46,0.45,0.6,0.52,0.53,,,,,0.29,0.34,0.48,0.6,0.48,0.53,0.53,,,,,2026
Defensor Sporting vs Cerro Largo,2026-02-21 00:30:00,Defensor Sporting won after full-time.,Uruguay Primera Division,Defensor Sporting,Cerro Largo,1.0,0.0,6.0,10.0,6.0,6.0,8.0,5.0,20.0,11.0,119.0,99.0,54.0,54.0,57.0,43.0,,,8.0,6.0,12.0,5.0,3.0,0.0,7.0,12.0,,,8.0,16.0,3.0,6.0,2.0,3.0,1.99,3.31,4.07,1.7,2.15,1.8,2.05,,,,,1.9,3.1,3.75,1.66,2.1,1.77,2.02,1.82,1.97,,,0.5,0.3,0.25,0.47,0.59,0.56,0.49,,,,,0.53,0.32,0.27,0.6,0.48,0.56,0.5,0.55,0.51,,,2026
Racing vs Danubio,2026-02-21 12:45:00,Racing won after full-time.,Uruguay Primera Division,Racing,Danubio,4.0,0.0,12.0,3.0,10.0,1.0,4.0,1.0,21.0,3.0,90.0,65.0,76.0,35.0,46.0,54.0,1.0,0.0,10.0,1.0,11.0,2.0,2.0,1.0,5.0,8.0,,,15.0,10.0,1.0,8.0,4.0,0.0,2.76,2.97,2.87,1.77,2.06,1.86,1.97,,,,,2.6,2.87,2.62,1.66,2.1,1.87,1.92,,,,,0.36,0.34,0.35,0.49,0.56,0.54,0.51,,,,,0.38,0.35,0.38,0.6,0.48,0.53,0.52,,,,,2026
Boston River vs Albion,2026-02-21 20:00:00,Game ended in draw.,Uruguay Primera Division,Boston River,Albion,,,15.0,8.0,4.0,6.0,1.0,5.0,3.0,8.0,75.0,94.0,61.0,64.0,43.0,57.0,,,,,,,,,,,,,,,,,1.0,1.0,2.59,3.04,3.01,1.68,2.2,2.0,1.84,,,,,2.35,2.7,3.1,1.61,2.2,2.02,1.77,,,,,0.39,0.33,0.33,0.45,0.6,0.5,0.54,,,,,0.43,0.37,0.32,0.62,0.45,0.5,0.56,,,,,2026
Atlético Progreso vs Nacional,2026-02-21 23:30:00,Nacional won after full-time.,Uruguay Primera Division,Atlético Progreso,Nacional,0.0,1.0,16.0,7.0,1.0,6.0,4.0,4.0,6.0,14.0,80.0,88.0,11.0,15.0,33.0,67.0,,,2.0,10.0,4.0,4.0,0.0,3.0,10.0,5.0,,,22.0,10.0,6.0,1.0,2.0,0.0,6.78,4.24,1.5,1.83,1.98,,,,,1.86,1.97,5.75,4.1,1.48,1.72,2.0,,,,,1.85,1.95,0.15,0.24,0.67,0.51,0.55,,,,,0.54,0.51,0.17,0.24,0.68,0.58,0.5,,,,,0.54,0.51,2026
Wanderers vs Montevideo City Torque,2026-02-22 12:45:00,Montevideo City Torque won after full-time.,Uruguay Primera Division,Wanderers,Montevideo City Torque,0.0,4.0,8.0,13.0,7.0,2.0,3.0,2.0,5.0,7.0,101.0,90.0,80.0,45.0,56.0,44.0,0.0,1.0,,,,,,,,,,,,,,,1.0,3.0,3.47,3.12,2.28,1.84,1.96,,,2.05,1.8,,,3.1,3.2,2.2,1.72,2.0,,,2.0,1.8,,,0.29,0.32,0.44,0.51,0.54,,,0.49,0.56,,,0.32,0.31,0.45,0.58,0.5,,,0.5,0.56,,,2026
Juventud vs Central Español,2026-02-22 20:00:00,Central Español won after full-time.,Uruguay Primera Division,Juventud,Central Español,0.0,1.0,12.0,4.0,9.0,0.0,3.0,4.0,11.0,7.0,105.0,87.0,63.0,33.0,63.0,37.0,,,,,,,,,,,,,,,,,4.0,1.0,3.83,3.09,2.15,1.69,2.17,1.9,1.93,,,,,3.25,3.0,2.1,1.66,2.1,1.9,1.9,1.9,1.9,,,0.26,0.32,0.47,0.46,0.59,0.53,0.52,,,,,0.31,0.33,0.48,0.6,0.48,0.53,0.53,0.53,0.53,,,2026
Peñarol vs Deportivo Maldonado,2026-02-22 23:30:00,Peñarol won after full-time.,Uruguay Primera Division,Peñarol,Deportivo Maldonado,2.0,1.0,11.0,3.0,6.0,8.0,8.0,3.0,11.0,10.0,130.0,108.0,13.0,17.0,54.0,46.0,,,8.0,6.0,3.0,4.0,0.0,3.0,3.0,13.0,,,8.0,19.0,3.0,1.0,3.0,3.0,1.55,3.97,6.52,1.71,2.15,,,1.8,2.02,2.04,1.8,1.5,3.6,6.0,1.61,2.2,,,1.8,2.0,1.8,2.0,0.65,0.25,0.15,0.47,0.58,,,0.56,0.5,0.49,0.56,0.67,0.28,0.17,0.62,0.45,,,0.56,0.5,0.56,0.5,2026
