name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,prob_home_pinacle,prob_draw_pinacle,prob_away_pinacle,prob_btts_pinacle,prob_no_btts_pinacle,prob_over_pinnacle_2,prob_under_pinnacle_2,prob_over_pinnacle_2_25,prob_under_pinnacle_2_25,prob_over_pinnacle_2_5,prob_under_pinnacle_2_5,prob_bet365_home,prob_bet365_draw,prob_bet365_away,prob_btts_bet365_no,prob_btts_bet365_yes,prob_over_bet365_2_0,prob_under_bet365_2_0,"prob_over_bet365_2_0, 2_5","prob_under_bet365_2_0, 2_5",prob_over_bet365_2_5,prob_under_bet365_2_5,Temporada
Gimnasia La Plata vs Racing Club,2026-01-24 22:30:00,Gimnasia La Plata won after full-time.,Argentina Liga Profissional de Futebol,Gimnasia La Plata,Racing Club,2.0,1.0,5.0,8.0,4.0,5.0,1.0,7.0,7.0,13.0,60.0,125.0,26.0,43.0,26.0,74.0,,,5.0,8.0,2.0,5.0,1.0,0.0,16.0,7.0,5.0,10.0,13.0,15.0,2.0,3.0,2.0,3.0,3.97,3.07,2.19,1.76,2.13,1.86,2.03,,,,,3.75,3.1,2.15,1.61,2.2,1.82,1.97,,,,,0.25,0.33,0.46,0.47,0.57,0.54,0.49,,,,,0.27,0.32,0.47,0.62,0.45,0.55,0.51,,,,,2026
Rosario Central vs Belgrano,2026-01-25 01:00:00,Belgrano won after full-time.,Argentina Liga Profissional de Futebol,Rosario Central,Belgrano,1.0,2.0,7.0,10.0,4.0,3.0,7.0,4.0,18.0,13.0,109.0,82.0,56.0,41.0,50.0,50.0,1.0,0.0,9.0,8.0,9.0,5.0,3.0,2.0,5.0,10.0,15.0,9.0,5.0,9.0,5.0,8.0,2.0,1.0,1.96,3.19,4.74,1.61,2.39,2.03,1.86,,,,,1.9,3.1,4.5,1.57,2.25,2.0,1.8,,,,,0.51,0.31,0.21,0.42,0.62,0.49,0.54,,,,,0.53,0.32,0.22,0.64,0.44,0.5,0.56,,,,,2026
Boca Juniors vs Deportivo Riestra,2026-01-25 21:30:00,Boca Juniors won after full-time.,Argentina Liga Profissional de Futebol,Boca Juniors,Deportivo Riestra,1.0,0.0,11.0,10.0,12.0,1.0,8.0,4.0,19.0,6.0,99.0,69.0,73.0,40.0,80.0,20.0,,,8.0,2.0,11.0,4.0,0.0,2.0,5.0,13.0,12.0,3.0,9.0,19.0,1.0,2.0,1.0,5.0,1.65,3.46,7.03,1.46,2.81,2.11,1.8,,,,,1.6,3.5,7.0,1.44,2.62,1.75,2.05,,,,,0.61,0.29,0.14,0.36,0.68,0.47,0.56,,,,,0.62,0.29,0.14,0.69,0.38,0.57,0.49,,,,,2026
Argentinos Juniors vs Sarmiento,2026-01-26 00:00:00,Argentinos Juniors won after full-time.,Argentina Liga Profissional de Futebol,Argentinos Juniors,Sarmiento,1.0,0.0,8.0,10.0,9.0,2.0,10.0,0.0,24.0,2.0,113.0,77.0,80.0,42.0,70.0,30.0,,,13.0,1.0,11.0,1.0,0.0,3.0,2.0,15.0,15.0,2.0,7.0,19.0,1.0,9.0,3.0,6.0,1.39,4.61,9.96,1.43,2.94,,,2.11,1.8,,,1.38,4.1,11.0,1.44,2.62,,,1.75,2.05,,,0.72,0.22,0.1,0.34,0.7,,,0.47,0.56,,,0.72,0.24,0.09,0.69,0.38,,,0.57,0.49,,,2026
Tigre vs Estudiantes de Río Cuarto,2026-01-26 00:00:00,Tigre won after full-time.,Argentina Liga Profissional de Futebol,Tigre,Estudiantes de Río Cuarto,2.0,0.0,9.0,11.0,3.0,6.0,5.0,5.0,11.0,9.0,50.0,66.0,39.0,62.0,52.0,48.0,,,6.0,5.0,5.0,4.0,0.0,1.0,8.0,8.0,7.0,5.0,16.0,9.0,2.0,1.0,3.0,3.0,1.99,2.92,5.25,1.53,2.58,,,,,,,1.95,3.0,4.75,1.5,2.5,,,,,,,0.5,0.34,0.19,0.39,0.65,,,,,,,0.51,0.33,0.21,0.67,0.4,,,,,,,2026
Platense vs Instituto,2026-01-26 20:00:00,Platense won after full-time.,Argentina Liga Profissional de Futebol,Platense,Instituto,2.0,1.0,10.0,13.0,3.0,2.0,4.0,3.0,10.0,10.0,88.0,83.0,46.0,56.0,45.0,55.0,,,5.0,8.0,5.0,2.0,4.0,2.0,2.0,5.0,8.0,8.0,12.0,13.0,5.0,3.0,2.0,2.0,2.54,2.63,3.86,1.47,2.79,,,,,,,2.5,2.7,3.7,1.44,2.62,,,,,,,0.39,0.38,0.26,0.36,0.68,,,,,,,0.4,0.37,0.27,0.69,0.38,,,,,,,2026
Vélez Sarsfield vs Talleres Córdoba,2026-01-27 20:45:00,Vélez Sarsfield won after full-time.,Argentina Liga Profissional de Futebol,Vélez Sarsfield,Talleres Córdoba,2.0,1.0,4.0,3.0,6.0,7.0,5.0,10.0,10.0,21.0,99.0,90.0,55.0,51.0,54.0,46.0,,,5.0,12.0,5.0,9.0,1.0,1.0,8.0,9.0,9.0,16.0,8.0,11.0,7.0,2.0,1.0,3.0,2.37,2.86,3.81,1.57,2.49,,,,,,,2.35,2.8,3.8,1.57,2.25,,,,,,,0.42,0.35,0.26,0.4,0.64,,,,,,,0.43,0.36,0.26,0.64,0.44,,,,,,,2026
Huracán vs Independiente Rivadavia,2026-01-27 23:00:00,Independiente Rivadavia won after full-time.,Argentina Liga Profissional de Futebol,Huracán,Independiente Rivadavia,1.0,2.0,7.0,3.0,2.0,5.0,4.0,2.0,9.0,8.0,84.0,69.0,27.0,21.0,61.0,39.0,,,8.0,6.0,1.0,2.0,1.0,1.0,5.0,12.0,7.0,7.0,14.0,14.0,4.0,1.0,2.0,4.0,2.18,2.83,4.51,1.48,2.64,2.07,1.78,,,,,2.2,2.8,4.2,1.44,2.62,2.02,1.77,,,,,0.46,0.35,0.22,0.38,0.68,0.48,0.56,,,,,0.45,0.36,0.24,0.69,0.38,0.5,0.56,,,,,2026
Gimnasia y Esgrima Mendoza vs San Lorenzo,2026-01-27 23:00:00,San Lorenzo won after full-time.,Argentina Liga Profissional de Futebol,Gimnasia y Esgrima Mendoza,San Lorenzo,0.0,1.0,5.0,11.0,4.0,4.0,6.0,5.0,13.0,9.0,105.0,86.0,23.0,25.0,58.0,42.0,,,3.0,6.0,10.0,3.0,3.0,3.0,10.0,11.0,11.0,4.0,11.0,12.0,0.0,3.0,1.0,2.0,3.84,2.75,2.45,1.49,2.73,,,,,,,3.75,2.8,2.3,1.44,2.62,,,,,,,0.26,0.36,0.41,0.37,0.67,,,,,,,0.27,0.36,0.43,0.69,0.38,,,,,,,2026
Newell's Old Boys vs Independiente,2026-01-28 01:15:00,Game ended in draw.,Argentina Liga Profissional de Futebol,Newell's Old Boys,Independiente,1.0,1.0,12.0,9.0,6.0,3.0,7.0,3.0,12.0,6.0,90.0,96.0,68.0,60.0,51.0,49.0,,,10.0,2.0,2.0,4.0,5.0,1.0,7.0,9.0,11.0,4.0,13.0,19.0,1.0,3.0,2.0,5.0,3.66,2.93,2.39,1.6,2.42,2.11,1.8,,,,,,,,,,,,,,,,0.27,0.34,0.42,0.41,0.62,0.47,0.56,,,,,,,,,,,,,,,,2026
